,mbti,character,movie_name,release_year
0,ESFP,"Peter Quill ""Star-Lord""",Marvel Cinematic Universe,
1,ESFP,Anakin Skywalker,Star Wars,
2,ESFP,Ron Weasley,Harry Potter,
3,ESFP,Bellatrix Lestrange,Harry Potter,
4,ESFP,Simba,The Lion King,1994.0
5,ESFP,Donkey,Shrek,
6,ESFP,"Bob Parr ""Mr. Incredible""",The Incredibles,
7,ESFP,Jack Dawson,Titanic,1997.0
8,ESFP,Aladdin,Aladdin,1992.0
9,ESFP,Marty Mcfly,Back To The Future,
10,ESFP,Jasmine,Aladdin,1992.0
11,ESFP,Marla Singer,Fight Club,1999.0
12,ESFP,Erik Killmonger,Marvel Cinematic Universe,
13,ESFP,Elizabeth Swann,Pirates Of The Caribbean,
14,ESFP,"Sam Wilson ""Falcon""",Marvel Cinematic Universe,
15,ESFP,Chewbacca,Star Wars,
16,ESFP,Jar Jar Binks,Star Wars,
17,ESFP,Gilderoy Lockhart,Harry Potter,
18,ESFP,Miguel Rivera,Coco,2017.0
19,ESFP,"Peregrin ""Pippin"" Took",The Lord Of The Rings,
20,ESFP,Pumbaa,The Lion King,1994.0
21,ESFP,Dudley Dursley,Harry Potter,
22,ESFP,Nemo,Finding Nemo,
23,ESFP,Jessie,Toy Story,
24,ESFP,Prince Naveen,The Princess And The Frog,2009.0
25,ESFP,Tigger,Winnie The Pooh,2011.0
26,ESFP,Jenny,Forrest Gump,1994.0
27,ESFP,Charlotte Labouff,The Princess And The Frog,2009.0
28,ESFP,Rick Dalton,Once Upon A Time In Hollywood,2019.0
29,ESFP,Hulk,Marvel Cinematic Universe,
30,ESFP,Lavender Brown,Harry Potter,
31,ESFP,Caesar Flickerman,The Hunger Games,
32,ESFP,Augustus Gloop,Charlie And The Chocolate Factory,2005.0
33,ESFP,Mater,Cars,
34,ESFP,Dug,Up,2009.0
35,ESFP,Frederico Corleone,The Godfather,
36,ESFP,Peter Kavinsky,To All The Boys I'Ve Loved Before,2018.0
37,ESFP,Clawhauser,Zootopia,2016.0
38,ESFP,Jonathan,Hotel Transylvania,2012.0
39,ESFP,Ed,The Lion King,1994.0
40,ESFP,David Mills,Se7En,1995.0
41,ESFP,Heather Duke,Heathers,1988.0
42,ESFP,Agent J / James Darrell Edwards Iii,Men In Black,
43,ESFP,Gobber,How To Train Your Dragon,
44,ESFP,Crush,Finding Nemo,
45,ESFP,Lumiere,Beauty And The Beast,1991.0
46,ESFP,Scrat,Ice Age,
47,ESFP,Monkey,Kung Fu Panda,
48,ESFP,Ryan Evans,High School Musical,
49,ESFP,"Eddie Brock ""Venom""",The Spider-Man Trilogy,
50,ESFP,"Billy Batson ""Shazam""",Dc Extended Universe,
51,ESFP,Kiara,The Lion King,1994.0
52,ESFP,Mowgli,The Jungle Book,1967.0
53,ESFP,Baloo,The Jungle Book,1967.0
54,ESFP,Elle Evans,The Kissing Booth,
55,ESFP,Hal Stewart,Megamind,2010.0
56,ESFP,Pussycat,Once Upon A Time In Hollywood,2019.0
57,ESFP,Angela Hayes,American Beauty,1999.0
58,ESFP,Other Father,Coraline,2009.0
59,ESFP,Tuffnut,How To Train Your Dragon,
61,ESFP,Freddie Mercury,Bohemian Rhapsody,2018.0
62,ESFP,Erika,Barbie As The Princess And The Pauper,2004.0
63,ESFP,Daniel Larusso,Karate Kid,1984.0
64,ESFP,"Mary ""Boo"" Gibbs","Monsters, Inc.",2001.0
65,ESFP,Kili,The Hobbit,
66,ESFP,Luis,Marvel Cinematic Universe,
67,ESFP,Lance Corporal Tom Blake,1917,2019.0
68,ESFP,Daisy Buchanan,The Great Gatsby,2013.0
69,ESFP,Miss Miriam Forcible,Coraline,2009.0
71,ESFP,Dr. Frank-N-Furter,The Rocky Horror Picture Show,1975.0
72,ESFP,Gary 'Eggsy' Unwin / Galahad,Kingsman,
73,ESFP,Debora,Baby Driver,2017.0
74,ESFP,Prince Charming,Cinderella,1950.0
75,ESFP,Fawn,Tinker Bell,2008.0
76,ESFP,Lefou,Beauty And The Beast,1991.0
77,ESFP,"Donny ""The Bear Jew"" Donowitz",Inglourious Basterds,2009.0
78,ESFP,Mayor,The Nightmare Before Christmas,1993.0
79,ESFP,Tamatoa,Moana,2016.0
80,ESFP,Heloise,Portrait Of A Lady On Fire,2019.0
81,ESFP,Dionne Davenport,Clueless,1995.0
82,ESFP,Scuttle,The Little Mermaid,1989.0
83,ESFP,Colin Creevey,Harry Potter,
84,ESFP,Stu Hopps,Zootopia,2016.0
85,ESFP,"Dolores Haze ""Lolita""",Lolita,1997.0
86,ESFP,Dru,Despicable Me,
87,ESFP,Duke Caboom,Toy Story,
88,ESFP,Darla,Finding Nemo,
89,ESFP,Tommy Williams,The Shawshank Redemption,1994.0
91,ESFP,Lydia Bennet,Pride And Prejudice,2005.0
92,ESFP,Gigi,Booksmart,2019.0
93,ESFP,Dim,A Clockwork Orange,1971.0
94,ESFP,Cruella De Vil,101 Dalmatians,1996.0
95,ESFP,Goofy,A Goofy Movie,1995.0
96,ESFP,Roman Pearce,The Fast And The Furious,
97,ESFP,The Cowardly Lion,The Wizard Of Oz,1939.0
98,ESFP,Yolanda (Honey Bunny),Pulp Fiction,1994.0
99,ESFP,Salacious B. Crumb,Star Wars,
100,ESFP,Leslie Chow,The Hangover Trilogy,
103,ESFP,Eep,The Croods,2013.0
104,ESFP,Recep İvedik,Recep İvedik,
105,ESFP,Jay,Descendants,
106,ESFP,Nigel,Finding Nemo,
107,ESFP,Squirt,Finding Nemo,
108,ESFP,Félicie,Leap! / Ballerina,2016.0
109,ESFP,Tree Gelbman,Happy Death Day,
111,ESFP,Joyce,Edward Scissorhands,1990.0
112,ESFP,Tonya Harding,"I, Tonya",2017.0
113,ESFP,Danny,Grease,1978.0
114,ESFP,Nux,Mad Max,
115,ESFP,Emile,Ratatouille,2007.0
116,ESFP,Envy Adams,Scott Pilgrim Vs. The World,2010.0
117,ESFP,Uncle Rico,Napoleon Dynamite,2004.0
118,ESFP,Chel,The Road To El Dorado,2000.0
119,ESFP,Simba,The Lion King,2019.0
120,ESFP,Megan Stewart,Megan Is Missing,2011.0
122,ESFP,Iris,Taxi Driver,1976.0
124,ESFP,Gabe Wilson,Us,2019.0
125,ESFP,Winifred Banks,Mary Poppins,1964.0
126,ESFP,Carl Showalter,Fargo,1996.0
127,ESFP,Little John,Robin Hood,1973.0
128,ESFP,Lilly Moscovitz,The Princess Diaries,
129,ESFP,Oompa Loompas,Charlie And The Chocolate Factory,2005.0
131,ESFP,Meredith Quill,Marvel Cinematic Universe,
132,ESFP,Other Spink,Coraline,2009.0
133,ESFP,King Of Hearts,Alice In Wonderland,1951.0
134,ESFP,Chuck,The Angry Birds Movie,2016.0
135,ESFP,Donnie Azoff,The Wolf Of Wall Street,2013.0
136,ESFP,Ruby Rhod,The Fifth Element,1997.0
137,ESFP,Tyrone C. Love,Requiem For A Dream,2000.0
138,ESFP,Other Forcible,Coraline,2009.0
139,ESFP,Sarah Sanderson,Hocus Pocus,1993.0
140,ESFP,Paris,Troy,2004.0
141,ESFP,Manny Ribera,Scarface,1983.0
143,ESFP,Admiral-General Haffaz Aladeen,The Dictator,2012.0
144,ESFP,Thumper,Bambi,1942.0
145,ESFP,Amanda Kirby,Jurassic Park / Jurassic World,
146,ESFP,Gary Granger,The Addams Family,
147,ESFP,Alex Stewart,"Love, Rosie",2014.0
148,ESFP,Hudson,Alien,
149,ESFP,Jenko,21 Jump Street,2012.0
150,ESFP,Jenna Walton,Lady Bird,2017.0
151,ESFP,Becky Martin-Granger,The Addams Family,
152,ESFP,James Carter,Rush Hour,1998.0
153,ESFP,Alma Elson,Phantom Thread,2017.0
154,ESFP,Prince Edward,Enchanted,2007.0
155,ESFP,Tiffany,Chucky,
156,ESFP,Christian,Clueless,1995.0
157,ESFP,Mini-Me,Austin Powers,
158,ESFP,Stu Macher,Scream Movies,
159,ESFP,Mochi,Big Hero 6,2014.0
160,ESFP,Glimmer,The Hunger Games,
162,ESFP,Lafawnduh,Napoleon Dynamite,2004.0
163,ESFP,Kim Mills,Taken,
164,ESFP,Princess Su,Mulan,1998.0
165,ESFP,Volstagg,Marvel Cinematic Universe,
166,ESFP,Cousin It,The Addams Family,
167,ESFP,Roger Rabbit,Who Framed Roger Rabbit,
168,ESFP,Gazelle,Zootopia,2016.0
169,ESFP,Anna Coleman,Freaky Friday,2003.0
170,ESFP,Marianne Dashwood,Sense And Sensibility,1995.0
171,ESFP,Lucy Westenra,Bram Stoker'S Dracula,1992.0
172,ESFP,Chaca,The Emperor'S New Groove,2000.0
174,ESFP,Victor Zsasz,Dc Extended Universe,
175,ESFP,Niffler,Fantastic Beasts,
176,ESFP,"John Allerdyce ""Pyro""",X-Men Cinematic Universe,
177,ESFP,Zero,John Wick,
178,ESFP,Cody Maverick,Surf’S Up,2007.0
179,ESFP,Julia De Fiore,Uncut Gems,2019.0
180,ESFP,Fred Fenster,The Usual Suspects,1995.0
181,ESFP,Bunny Lebowski,The Big Lebowski,1998.0
182,ESFP,Annika,Barbie And The Magic Of Pegasus,2005.0
184,ESFP,Jannah,Star Wars,
185,ESFP,Spot,The Good Dinosaur,2015.0
186,ESFP,Sabina Wilson,Charlie'S Angels,2019.0
187,ESFP,Madison,Zombieland,
188,ESFP,Ramone,Cars,
189,ESFP,Master Of Laketown,The Hobbit,
190,ESFP,Gil,Descendants,
191,ESFP,Scamp,Lady And The Tramp,1955.0
192,ESFP,Glen Lantz,A Nightmare On Elm Street,1984.0
193,ESFP,İnek Şaban,Hababam Sınıfı,1975.0
195,ESFP,Percy Wetmore,The Green Mile,1999.0
196,ESFP,Otis,Barnyard,2006.0
197,ESFP,Dry Eye,The Gentlemen,2019.0
198,ESFP,Courtney Babcock,Paranorman,2012.0
199,ESFP,Dante,Coco,2017.0
200,ESFP,Tina Carlyle,The Mask,1994.0
203,ESFP,Peter Clamenza,The Godfather,
204,ESFP,Marcus Burnett,Bad Boys,
205,ESFP,Chin,Over The Moon,2020.0
207,ESFP,Marlon,The Truman Show,1998.0
208,ESFP,Michael Banks,Mary Poppins,1964.0
210,ESFP,Tony Pro,The Irishman,2019.0
211,ESFP,Scarlett Witch,Dr. Strange,1978.0
212,ESFP,Patrick Chandler,Manchester By The Sea,2016.0
213,ESFP,Hammy,Over The Hedge,2006.0
214,ESFP,Becca,Superbad,2007.0
215,ESFP,Billy Madison,Billy Madison,1995.0
216,ESFP,Gary King (The World'S End),The Cornetto Trilogy,
217,ESFP,Mary Ann Lomax,The Devil'S Advocate,1997.0
218,ESFP,Baharat,The Platform / El Hoyo,2020.0
219,ESFP,Pumbaa,The Lion King,2019.0
226,ESFP,Isaac,The Fault In Our Stars,2014.0
227,ESFP,Ben,Song Of The Sea,2014.0
228,ESFP,Melanie Ralston,Jackie Brown,1997.0
229,ESFP,Quentin Mcneil,Cube,1997.0
230,ESFP,Nico,Rio,2011.0
231,ESFP,Wesley Rush,The Duff,2015.0
232,ESFP,Rhino,Bolt,2008.0
233,ESFP,Annabelle,The Conjuring,
235,ESFP,Adella,The Little Mermaid,1989.0
236,ESFP,Bumper Allen,Pitch Perfect,
237,ESFP,James Hunt,Rush,2013.0
238,ESFP,Fifi,Beauty And The Beast,1991.0
239,ESFP,Prospector,The Ballad Of Buster Scruggs,2018.0
244,ESFP,Becca Tyler,Us,2019.0
245,ESFP,Alan-A-Dale,Robin Hood,1973.0
246,ESFP,Morgan O'Mally,Good Will Hunting,1997.0
247,ESFP,Corinne,Barbie: Three Musketeers,
248,ESFP,Tommy Ross,Carrie,1976.0
249,ESFP,Sophie,Anastasia,1997.0
250,ESFP,Snowgies,Frozen,
252,ESFP,Paul Blart,Paul Blart: Mall Cop,2009.0
253,ESFP,Bailey,Finding Nemo,
254,ESFP,Johnny Boy,Mean Streets,1973.0
255,ESFP,Lucille Larusso,Karate Kid,1984.0
256,ESFP,Molly Gunn,Uptown Girls,2003.0
257,ESFP,Maggot,Corpse Bride,2005.0
258,ESFP,Frypan,Maze Runner,
261,ESFP,Tito,Oliver & Company,1988.0
263,ESFP,Brennan,Step Brothers,2008.0
265,ESFP,Bonejangles,Corpse Bride,2005.0
269,ESFP,Julia Mccullough,The Prestige,2006.0
270,ESFP,Oda Mae Brown,Ghost,1990.0
271,ESFP,J.P Spamley,Wreck-It Ralph,
272,ESFP,Ava,Only Lovers Left Alive,2013.0
273,ESFP,Corey Mason,Empire Records,1995.0
274,ESFP,Jules,The Cabin In The Woods,2012.0
275,ESFP,Eddie,The Rocky Horror Picture Show,1975.0
276,ESFP,Grover Underwood,Percy Jackson,
277,ESFP,Rico,Starship Troopers,1997.0
278,ESFP,Ricky Baker,Hunt For The Wilderpeople,2016.0
283,ESFP,Hi-5,The Emoji Movie,2017.0
284,ESFP,John,Wedding Crashers,2005.0
288,ESFP,Greta,Gone Girl,2014.0
291,ESFP,Mebh Óg Mactíre,Wolfwalkers,2020.0
293,ESFP,Mallory Knox,Natural Born Killers,1994.0
295,ESFP,Martha Cox,High School Musical,
298,ESFP,Sy Snootles,Star Wars,
300,ESFP,Tristan Ludlow,Legends Of The Fall,1994.0
301,ESFP,Myrtle Wilson,The Great Gatsby,2013.0
302,ESFP,Kai,The Lego Movies,
303,ESFP,Jeff Portnoy,Tropic Thunder,2008.0
304,ESFP,Wye Mun Goh,Crazy Rich Asians,2018.0
305,ESFP,María Elena,Vicky Cristina Barcelona,
306,ESFP,Moonee,The Florida Project,2017.0
307,ESFP,Elton,Clueless,1995.0
308,ESFP,Bridget Vreeland,The Sisterhood Of The Traveling Pants,2005.0
309,ESFP,Wayne Campbell,Wayne'S World,1992.0
310,ESFP,"Franklin ""Mouse"" Finbar",Jumanji,
312,ESFP,"Sean Cassidy ""Banshee""",X-Men Cinematic Universe,
314,ESFP,Celia Rae Foote,The Help,2011.0
317,ESFP,"Professor Sheldon ""Shelly"" Oberon",Jumanji,
318,ESFP,Don Fanucci,The Godfather,
319,ESFP,Marion Davies,Mank,2020.0
321,ESFP,Lance,Sing,2016.0
323,ESFP,Helen Thermopolis,The Princess Diaries,
324,ESFP,Anya Thorensen,Annihilation,2018.0
325,ESFP,"Roberto Da Costa ""Sunspot""",X-Men Cinematic Universe,
326,ESFP,Amber Waves,Boogie Nights,1997.0
332,ESFP,King Kong,King Kong,2005.0
333,ESFP,Emmett Dewitt,10 Cloverfield Lane,2016.0
335,ESFP,Lindsey Tyler,Us,2019.0
336,ESFP,Candy,One Flew Over The Cuckoo'S Nest,1975.0
337,ESFP,Hamilton “Ham” Porter,The Sandlot,1993.0
338,ESFP,"William ""Bill"" S. Preston",Bill & Ted,
339,ESFP,Alpa Chino,Tropic Thunder,2008.0
340,ESFP,The Duck,The Lorax,2012.0
342,ESFP,B.O.B.,Monsters Vs. Aliens,
343,ESFP,Edgar,Snowpiercer,2013.0
346,ESFP,Marie Antoinette,Marie Antoinette,2006.0
349,ESFP,Natalie,Love Actually,2003.0
350,ESFP,"Deezel Riggs ""Porkchop""",Hot Wheels World Race / Acceleracers,
351,ESFP,Robot 216,G.O.R.A.,2004.0
352,ESFP,Susan Alexander Kane,Citizen Kane,1941.0
354,ESFP,Wooderson,Dazed And Confused,1993.0
356,ESFP,"Charles Davis ""Scorpio""",Dirty Harry,
357,ESFP,Liz,Tall Girl,2019.0
362,ESFP,Mia Grey,Fifty Shades Of Grey,
363,ESFP,Amelia Wren,The Aeronauts,
365,ESFP,Taran,The Black Cauldron,1985.0
372,ESFP,Park Gang-Du,The Host,2006.0
374,ESFP,The Dauphin,The King,2019.0
375,ESFP,Conrad Walden,The Cat In The Hat,2003.0
376,ESFP,Prince Anders,Aladdin,2019.0
377,ESFP,Lamont,American History X,1998.0
378,ESFP,Dickon,The Secret Garden,1993.0
379,ESFP,Elliot,Open Season,2006.0
380,ESFP,Lynda Van Der Klok,Halloween,1978.0
381,ESFP,Bullet-Tooth Tony,Snatch.,2000.0
385,ESFP,Woman,I Am Mother,2019.0
386,ESFP,Blair,Barbie In The 12 Dancing Princesses,2006.0
387,ESFP,Slimer,Ghostbusters,1984.0
388,ESFP,Aunt Susan,Holidate,
390,ESFP,Linda Partridge,Magnolia,1999.0
391,ESFP,Zoey Sandin,The Purge,
392,ESFP,Morgan,The Spy Who Dumped Me,2018.0
394,ESFP,Weeteef Cyu-Bee,Star Wars,
395,ESFP,Jasmine Hale,Work It,
396,ESFP,Rayon,Dallas Buyer'S Club,2013.0
397,ESFP,Martha May Whovier,How The Grinch Stole Christmas,2000.0
401,ESFP,Zero,The Nightmare Before Christmas,1993.0
406,ESFP,Shaun,This Is England,2006.0
409,ESFP,Mercedes,Hustlers,2019.0
411,ESFP,Buck,Home On The Range,2004.0
412,ESFP,"Milt ""Hollywood"" Zane",Hacksaw Ridge,2016.0
413,ESFP,Frank Catton,Ocean'S Eleven Trilogy,
414,ESFP,Superman,The Lego Batman Movie,2017.0
415,ESFP,Annie Brackett,Halloween,1978.0
416,ESFP,Alberto Crespo,Pain And Glory,
417,ESFP,Norther Winslow,Big Fish,2003.0
418,ESFP,Vitaly Orlov,Lord Of War,2005.0
419,ESFP,Rose,We'Re The Millers,2013.0
420,ESFP,Linda Rogo,The Poseidon Adventure,1972.0
422,ESFP,Roz Focker,Meet The Parents,2000.0
425,ESFP,Riley Biers,Twilight,
426,ESFP,Sutter Keely,The Spectacular Now,2013.0
427,ESFP,Nick Eisner,"Love, Simon",2018.0
428,ESFP,Pete,"O Brother, Where Art Thou?",2000.0
429,ESFP,Andie,Gone Girl,2014.0
432,ESFP,Felix Kendrickson,Blackkklansman,2018.0
439,ESFP,Ryan Huddle,Game Night,2018.0
442,ESFP,Schofield Kid,Unforgiven,1992.0
444,ESFP,Billy,Easy Rider,
446,ESFP,Slyder,Barbie And The Diamond Castle,2008.0
458,ESFP,Camryn Barnes,Twitches,2005.0
459,ESFP,Bailey Butler,Unpregnant,2020.0
460,ESFP,Marcee,A Beautiful Mind,2001.0
461,ESFP,Sandy Henderson,The Devil All The Time,2020.0
462,ESFP,Viveca,Barbie: Three Musketeers,
463,ESFP,Tamara,Pirates Of The Caribbean,
464,ESFP,Dizzy Flores,Starship Troopers,1997.0
465,ESFP,Kit Keller,A League Of Their Own,1992.0
466,ESFP,Howard Bondurant,Lawless,2012.0
467,ESFP,Connor Rooney,Road To Perdition,2002.0
468,ESFP,Dora,O Auto Da Compadecida,
469,ESFP,Reed Rothchild,Boogie Nights,1997.0
472,ESFP,Fly,Help I'M A Fish,
474,ESFP,Marcelina,Minha Mãe É Uma Peça,
475,ESFP,Kevin Beckman,Ghostbusters,2016.0
476,ESFP,Candy,Spring Breakers,2012.0
478,ESFP,Father Daniel Flynn/Dock O’Kelly,Bad Times At The El Royale,2018.0
482,ESFP,Uncle Gaston,Meet The Robinsons,2007.0
483,ESFP,Benny Frandsen,Olsen Banden,
484,ESFP,Beth,The 40-Year-Old Virgin,2005.0
488,ESFP,Mrs Toad,Thumbelina,1994.0
489,ESFP,Azizi,The Lion King,2019.0
490,ESFP,Hansel,Zoolander,2001.0
491,ESFP,Simon,A Christmas Prince,
494,ESFP,Jeremy The Crow,The Secret Of Nimh,1982.0
496,ESFP,Amy March,Little Women,1994.0
500,ESFP,Nomi Malone,Showgirls,1995.0
501,ESFP,Paulette,Beauty And The Beast,1991.0
502,ESFP,Sugar Kane Kowalczyk,Some Like It Hot,1959.0
503,ESFP,Gloria Cleary,Wedding Crashers,2005.0
504,ESFP,Donald Kaufman,Adaptation,
505,ESFP,Amanda,Taken,
506,ESFP,Bobby Pellitt,Horrible Bosses,2011.0
507,ESFP,Devon,The Quest For Camelot,1998.0
508,ESFP,Edward Viii “David”,The King'S Speech,2010.0
510,ESFP,"Anthony ""Fat Tony"" Salerno",The Irishman,2019.0
511,ESFP,Ganyotçu,Kolpaçino,
512,ESFP,Margo Channing,All About Eve,1950.0
515,ESFP,Max Eckhardt,Batman,
516,ESFP,Sydney,The Invisible Man,2020.0
518,ESFP,Ferdinand,Babe,1995.0
519,ESFP,Billy Hitchcock,Final Destination,2000.0
520,ESFP,Francis Fratelli,The Goonies,1985.0
521,ESFP,Guy Fleegman,Galaxy Quest,1999.0
522,ESFP,Charlene Shiherlis,Heat,1995.0
523,ESFP,Semmi,Coming To America,1988.0
524,ESFP,Joe Buck,Midnight Cowboy,1969.0
527,ESFP,Chance,Homeward Bound,1993.0
528,ESFP,"Temmin ""Snap"" Wexley",Star Wars,
529,ESFP,Turk Malloy,Ocean'S Eleven Trilogy,
530,ESFP,Bonzo,Z-O-M-B-I-E-S,
531,ESFP,Captain Grogan,Barry Lyndon,1975.0
532,ESFP,Ellie Creed,Pet Sematary,2019.0
539,ESFP,Jimbo,Boss Baby,2017.0
540,ESFP,Tweedle Dee And Tweedle Dum,Alice In Wonderland,2010.0
541,ESFP,Brooke Taylor-Windham,Legally Blonde,2001.0
542,ESFP,Azul,Barbie As The Island Princess,2007.0
543,ESFP,Joanne Williams,Fish Tank,2009.0
544,ESFP,Julie Mott,Bad Boys,
545,ESFP,Deloris,Sister Act,1992.0
546,ESFP,Rapunzel'S Prince,Into The Woods,2014.0
547,ESFP,Madame De Garderobe,Beauty And The Beast,2017.0
548,ESFP,Erica,Detachment,
549,ESFP,"Anthony ""Tony"" Manero",Saturday Night Fever,1977.0
550,ESFP,Bibi Dahl,James Bond,
551,ESFP,Kevin Garnett,Uncut Gems,2019.0
552,ESFP,Stella Baines,Back To The Future,
553,ESFP,"Jubilation Lee ""Jubilee""",X-Men Cinematic Universe,
554,ESFP,Firuz,The Fast And The Furious,
555,ESFP,Mother Firefly,House Of 1000 Corpses,2003.0
556,ESFP,Gene Shepard,Short Cuts,1993.0
557,ESFP,Paolo Puttanesca,The Princess Diaries,
558,ESFP,Rita,Idiocracy,2006.0
559,ESFP,Max Cooperman,Never Back Down,2008.0
560,ESFP,Cadet/Off. Zed Mcglunk,Police Academy,
561,ESFP,Red,Pineapple Express,2008.0
562,ESFP,Maury Ballstein,Zoolander,2001.0
563,ESFP,H.I,Raising Arizona,1987.0
564,ESFP,Twitchy,Hoodwinked!,2005.0
565,ESFP,Matt Garetty,Chronicle,2012.0
566,ESFP,Brandon Teena,Boys Don'T Cry,1999.0
567,ESFP,Cassie,Marriage Story,2019.0
568,ESFP,Palmer Dodge,Just Go With It,2011.0
569,ESFP,Amy Rainey,Secret Window,2004.0
570,ESFP,Shorty Meeks,Scary Movie,
571,ESFP,Fresh Fish Con,The Shawshank Redemption,1994.0
572,ESFP,Trollex,Trolls World Tour,
573,ESFP,Rose,One Flew Over The Cuckoo'S Nest,1975.0
574,ESFP,Calogero 'C' Anello,A Bronx Tale,1993.0
575,ESFP,Cricket,Mulan,2020.0
576,ESFP,Becky'S Grandma,What'S Eating Gilbert Grape,1993.0
578,ESFP,Goku,Dragonball Evolution,2009.0
579,ESFP,Hook Hand Thug,Tangled,2010.0
580,ESFP,Nate Pullman,Wonder,2017.0
581,ESFP,Sergeant Red O'Neill,Platoon,1986.0
582,ESFP,King,Platoon,1986.0
583,ESFP,Gina,Empire Records,1995.0
584,ESFP,Ashley Freund,Final Destination 3,2006.0
585,ESFP,Ashlyn Halperin,Final Destination 3,2006.0
586,ESFP,Fender Pinwheeler,Robots,2005.0
587,ESFP,Julia Cotton,Hellraiser,
588,ESFP,Rayla,Barbie Mariposa,
589,ESFP,Cal Naughton Jr.,Talladega Nights: The Ballad Of Ricky Bobby,2006.0
590,ESFP,Tuma,Secret Society Of Second Born Royals,2020.0
591,ESFP,Blondie,Fallen Angels,1995.0
592,ESFP,Jared Cameron,Twilight,
593,ESFP,Argyle,Die Hard,
594,ESFP,Ryan Connolly,Whiplash,2014.0
595,ESFP,"Bianca ""The Milanese Nightingale"" Castafiore",The Adventures Of Tintin,2011.0
596,ESFP,Rod Tidwell,Jerry Maguire,1996.0
597,ESFP,Nash,The Good Dinosaur,2015.0
598,ESFP,Mahendra Baahubali,Baahubali,
599,ESFP,Gal,Sexy Beast,2000.0
600,ESFP,Kitty Fane,The Painted Veil,2006.0
602,ESFP,John Litter,Boys Don'T Cry,1999.0
603,ESFP,Linda Barrett,Fast Times At Ridgemont High,1982.0
604,ESFP,Maggie,The Holiday,2006.0
605,ESFP,Robbie Weaver,"Crazy, Stupid, Love",2011.0
606,ESFP,Glenjamin,Guns Akimbo,2020.0
607,ESFP,"Garfield Logan ""Beast Boy""",Dc Animated Movie Universe,
608,ESFP,President Skroob,Spaceballs,1987.0
609,ESFP,Larry,The Boys In The Band,
610,ESFP,Vronsky,Anna Karenina,2012.0
611,ESFP,"Plog, Blacksmith",The Seventh Seal,1957.0
612,ESFP,"Donny, Donny",Isn'T It Romantic?,2019.0
613,ESFP,Ed (Shaun Of The Dead),The Cornetto Trilogy,
614,ESFP,Kleinfeld,Carlito'S Way,
615,ESFP,Neto Gouveia,Elite Squad,2007.0
616,ESFP,Sally Badina,Blow Out,1981.0
617,ESFP,Helen,An Education,2009.0
618,ESFP,Kaori,Love Exposure,2008.0
619,ESFP,Gabi Krasucka,Suicide Room. The Hater,2020.0
620,ESFP,Terry Chaney,Final Destination,2000.0
621,ESFP,Mai (Number 11),12 Suicidal Teens,2019.0
622,ESFP,Father Brendan Flynn,Doubt,2008.0
623,ESFP,Kelly Van Ryan,Wild Things,1998.0
624,ESFP,Vince Neil,The Dirt,2019.0
625,ESFP,Billy Hicks,St. Elmo'S Fire,1985.0
626,ESFP,Babyface,Toy Story,
627,ESFP,Martin,The Parent Trap,1998.0
628,ESFP,Stephanie Smith,8 Mile,2002.0
629,ESFP,Petra Arkanian,Ender'S Game,2013.0
630,ESFP,Jenny Young,Someone Great,
631,ESFP,Tami-Lynn,Ted,
632,ESFP,Jesse Tuck,Tuck Everlasting,2002.0
633,ESFP,Tequila,Kingsman,
634,ESFP,Link,The Matrix Trilogy,
635,ESFP,Callie Travers,High Plains Drifter,1973.0
636,ESFP,Eddie,National Lampoon'S Vacation,1983.0
637,ESFP,"Anastasia ""Stasia"" Hooper",The Thing About Harry,
638,ESFP,Maurice Rodriguez,Boogie Nights,1997.0
639,ESFP,Rahul Khanna,Kuch Kuch Hota Hai,
640,ESFP,James Smith,Showgirls,1995.0
641,ESFP,Peter Callaghan,While You Were Sleeping,1995.0
642,ESFP,Bill Dunbar,Mona Lisa Smile,2003.0
643,ESFP,Alicia Rivera,The Clique,
644,ESFP,Sarah Ross,Red,2010.0
645,ESFP,Danny Mcdaniels,Silver Linings Playbook,2012.0
646,ESFP,Em Lacey,Assassination Nation,2018.0
647,ESFP,Mel,The Secret Life Of Pets,2016.0
648,ESFP,Sara Olson,Starstruck,2010.0
649,ESFP,Dexter Mayhew,One Day,2011.0
650,ESFP,Myron Larabee,Jingle All The Way,1996.0
651,ESFP,Subotai,Conan The Barbarian,1982.0
652,ESFP,Tuke,Brother Bear,2003.0
654,ESFP,Jack Cole,Sideways,2004.0
655,ESFP,Sylvia,La Dolce Vita,1960.0
656,ESFP,Bonnie Parker,Bonnie And Clyde,
657,ESFP,Jennyanydots The Gumbie Cat,Cats,2019.0
658,ESFP,Skimbleshanks,Cats,2019.0
659,ESFP,Mark,Empire Records,1995.0
660,ESFP,Stephan,Who Am I- No System Is Safe,
661,ESFP,Friar Tuck,Robin Hood: Prince Of Thieves,1991.0
662,ESFP,Stu Macher,Scream,
663,ESFP,Angie Ostrowiski,Baby Mama,2008.0
664,ESFP,Harvey Pollard,Bandits,2001.0
665,ESFP,Veronica,Black Swan,2010.0
666,ESFP,Heather,John Tucker Must Die,
667,ESFP,"Billy Batson ""Shazam""",Dc Animated Movie Universe,
668,ESFP,Bouc,Murder On The Orient Express,2017.0
669,ESFP,Peggy,Once Upon A Time In America,1984.0
670,ESFP,Detective Axel Foley,Beverly Hills Cop,
