,movie_name,release_date,score,genre,budget,revenue,country,release_year,continent,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
991,Whiplash,2014-10-22,84.0,"Drama, Music",3300000.0,39123993.0,Australia,2014.0,Oceania,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
997,The Croods,2013-03-28,69.0,"Animation, Adventure, Family, Fantasy, Comedy, Action",135000000.0,573068425.0,Australia,2013.0,Oceania,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
998,Bridge To Terabithia,2007-06-14,73.0,"Adventure, Drama, Family",25000000.0,137984788.0,Australia,2007.0,Oceania,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
999,300,2007-04-05,72.0,"Action, Adventure, War",60000000.0,454161935.0,Australia,2007.0,Oceania,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
1003,Back To The Future,1985-08-15,83.0,"Adventure, Comedy, Science Fiction",19000000.0,385510132.0,Australia,1985.0,Oceania,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0
1010,Hancock,2008-07-03,63.0,"Fantasy, Action",150000000.0,624234272.0,Australia,2008.0,Oceania,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1018,The Wizard Of Oz,1940-04-18,76.0,"Adventure, Fantasy, Family",2777000.0,34949482.0,Australia,1940.0,Oceania,1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1020,Lolita,1997-09-27,71.0,Drama,55000000.0,1147784.0,United States of America,1997.0,North America,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1021,Lolita,1997-09-27,71.0,Drama,2000000.0,9250000.0,United States of America,1997.0,North America,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1031,Dinosaur,2000-06-15,65.0,"Family, Animation",127500000.0,356148063.0,Australia,2000.0,Oceania,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1032,The Last Airbender,2010-09-16,47.0,"Action, Adventure, Fantasy",150000000.0,319713881.0,Australia,2010.0,Oceania,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
