,movie_name,release_date,score,genre,budget,revenue,country,release_year
1892,Full Metal Jacket,1987-12-11,81.0,"Drama, War",30000000.0,45017134.0,AU,1987.0
1893,The Hunchback Of Notre Dame,1996-09-12,71.0,"Drama, Animation, Family",100000000.0,325500000.0,AU,1996.0
1894,Megalodon,2018-12-12,56.0,"Action, Science Fiction, Horror, Tv Movie",130178.0,5303.0,AU,2018.0
1895,War Of The Worlds,2005-06-29,65.0,"Adventure, Thriller, Science Fiction",132000000.0,606836535.0,AU,2005.0
1896,Ticket To Paradise,2022-09-15,68.0,"Romance, Comedy",60000000.0,172152007.0,AU,2022.0
1897,Back To The Future Part Ii,1989-12-07,78.0,"Adventure, Comedy, Science Fiction",40000000.0,331971868.0,AU,1989.0
1898,I'M Innocent,2023-01-15,66.0,Comedy,54000000.0,327139851.8,PE,2023.0
1899,Life,2017-03-23,64.0,"Horror, Science Fiction, Mystery, Thriller",75000000.0,73521587.0,AU,2017.0
1900,Life,2017-03-23,64.0,"Horror, Science Fiction, Mystery, Thriller",58000000.0,101815660.0,AU,2017.0
1901,The Bribe Of Heaven,2016-03-17,69.0,Comedy,103740000.0,608633534.0,CO,2016.0
1902,To All The Boys I'Ve Loved Before,2018-08-17,77.0,"Comedy, Romance",105800000.0,667037174.8,AU,2018.0
1903,I Spit On Your Grave 2,2013-09-20,63.0,"Thriller, Horror, Crime",36708225.8,678604.0,US,2013.0
1904,"Ruby Gillman, Teenage Kraken",2023-06-30,0.0,"Animation, Family, Fantasy, Comedy",264940000.0,175269998.8,US,2023.0
1905,No Strings Attached,2011-02-10,63.0,"Comedy, Romance",25000000.0,149228078.0,AU,2011.0
1906,Candyman,2021-08-26,61.0,"Horror, Mystery, Thriller",25000000.0,77411570.0,AU,2021.0
1907,Dog Gone,2023-01-13,63.0,"Family, Adventure, Drama",113800000.0,283576013.8,US,2023.0
1908,The Punisher,2004-06-03,63.0,"Action, Crime, Drama",33000000.0,54533774.0,AU,2004.0
1909,Death On The Nile,2022-02-10,65.0,"Mystery, Drama, Crime, Thriller, Action, Adventure",90000000.0,130298184.0,AU,2022.0
1910,Deuce Bigalow: Male Gigolo,2000-01-06,59.0,Comedy,18000000.0,92935067.0,AU,2000.0
1911,Lilo & Stitch 2: Stitch Has A Glitch,2005-08-29,66.0,"Animation, Family, Comedy, Science Fiction",126000000.0,707739512.0,US,2005.0
1912,The Shining,1980-11-13,82.0,"Horror, Thriller",19000000.0,45613093.0,AU,1980.0
1913,Secret Society Of Second Born Royals,2020-09-25,68.0,"Action, Adventure, Comedy, Fantasy",156000000.0,725574518.0,US,2020.0
1914,King Kong,2005-12-14,69.0,"Adventure, Drama, Action",207000000.0,550517357.0,AU,2005.0
1915,King Kong,2005-12-14,69.0,"Adventure, Drama, Action",23000000.0,90614445.0,AU,2005.0
1916,King Kong,2005-12-14,69.0,"Adventure, Drama, Action",672000.0,10001781.0,AU,2005.0
1917,Resident Evil: Vendetta,2017-05-27,69.0,"Animation, Horror, Adventure, Mystery, Action, Science Fiction",176600000.0,577927735.6,JP,2017.0
1918,Conan The Barbarian,2011-08-18,53.0,"Adventure, Fantasy, Action",90000000.0,63356133.0,AU,2011.0
1919,Conan The Barbarian,2011-08-18,53.0,"Adventure, Fantasy, Action",20000000.0,79114085.0,AU,2011.0
1920,The Wrath Of God,2022-06-15,64.0,"Thriller, Drama",88600000.0,365470598.0,AR,2022.0
1921,Dragon Ball: Episode Of Bardock,2011-12-17,69.0,"Action, Animation, Science Fiction",154000000.0,749502771.4,JP,2011.0
1922,Police Academy,1984-04-19,67.0,"Comedy, Crime",4500000.0,81198894.0,AU,1984.0
1923,Wrong Turn 6: Last Resort,2014-10-14,54.0,Horror,1200000.0,3174356.0,US,2014.0
1924,The Devil'S Advocate,1998-01-01,74.0,"Drama, Mystery, Thriller, Horror",57000000.0,152944660.0,AU,1998.0
1925,The Grudge,2020-01-30,55.0,"Horror, Mystery",10000000.0,187281115.0,AU,2020.0
1926,The Grudge,2020-01-30,55.0,"Horror, Mystery",10000000.0,49503117.0,AU,2020.0
1927,Speed,1994-06-30,71.0,"Action, Adventure, Crime",30000000.0,283200000.0,AU,1994.0
1928,Batman: Death In The Family,2020-10-13,72.0,"Animation, Action",86800000.0,231173551.8,US,2020.0
